"timestamp,temperature,vibration,pressure,failure"
"2024-01-01 00:00:00,64.97,0.435,135.8,0"
"2024-01-01 00:01:00,58.62,0.428,180.4,0"
"2024-01-01 00:02:00,66.48,0.306,144.1,0"
"2024-01-01 00:03:00,75.23,0.458,152.7,0"
"2024-01-01 00:04:00,57.66,0.251,171.5,0"
"2024-01-01 00:05:00,57.66,0.335,148.2,0"
"2024-01-01 00:06:00,75.79,0.2,95.5,0"
"2024-01-01 00:07:00,67.67,0.556,181.2,0"
"2024-01-01 00:08:00,55.31,0.377,187.6,0"
"2024-01-01 00:09:00,65.43,0.617,95.1,0"
"2024-01-01 00:10:00,55.37,0.48,118.7,0"
"2024-01-01 00:11:00,55.34,0.445,210.7,1"
"2024-01-01 00:12:00,62.42,0.341,157.0,0"
"2024-01-01 00:13:00,40.87,0.295,150.1,0"
"2024-01-01 00:14:00,42.75,0.452,137.2,0"
"2024-01-01 00:15:00,54.38,0.393,119.1,0"
"2024-01-01 00:16:00,49.87,0.266,144.2,0"
"2024-01-01 00:17:00,63.14,0.248,179.2,0"
"2024-01-01 00:18:00,50.92,0.304,149.5,0"
"2024-01-01 00:19:00,45.88,0.582,168.3,0"
"2024-01-01 00:20:00,74.66,0.621,203.0,0"
"2024-01-01 00:21:00,57.74,0.42,132.6,0"
"2024-01-01 00:22:00,60.68,0.415,159.1,0"
"2024-01-01 00:23:00,45.75,0.366,180.1,0"
"2024-01-01 00:24:00,54.56,0.307,122.0,0"
"2024-01-01 00:25:00,61.11,0.538,155.3,0"
"2024-01-01 00:26:00,48.49,0.587,206.2,0"
"2024-01-01 00:27:00,63.76,0.311,139.8,0"
"2024-01-01 00:28:00,53.99,0.392,182.1,0"
"2024-01-01 00:29:00,57.08,0.355,145.8,0"
"2024-01-01 00:30:00,53.98,0.358,204.0,0"
"2024-01-01 00:31:00,78.52,0.519,100.6,0"
"2024-01-01 00:32:00,59.87,0.269,151.9,0"
"2024-01-01 00:33:00,49.42,0.447,105.6,0"
"2024-01-01 00:34:00,68.23,0.473,129.0,0"
"2024-01-01 00:35:00,47.79,0.386,128.8,0"
"2024-01-01 00:36:00,62.09,0.489,142.0,0"
"2024-01-01 00:37:00,40.4,0.415,114.4,0"
"2024-01-01 00:38:00,46.72,0.522,147.8,0"
"2024-01-01 00:39:00,61.97,0.248,163.8,0"
"2024-01-01 00:40:00,67.38,0.365,104.0,0"
"2024-01-01 00:41:00,61.71,0.393,131.0,0"
"2024-01-01 00:42:00,58.84,0.133,226.2,0"
"2024-01-01 00:43:00,56.99,0.291,159.9,0"
"2024-01-01 00:44:00,45.21,0.319,95.5,0"
"2024-01-01 00:45:00,52.8,0.495,108.0,0"
"2024-01-01 00:46:00,55.39,0.329,156.8,0"
"2024-01-01 00:47:00,70.57,0.318,153.0,0"
"2024-01-01 00:48:00,63.44,0.482,132.4,0"
"2024-01-01 00:49:00,42.37,0.238,215.8,1"
"2024-01-01 00:50:00,63.24,0.193,228.6,0"
"2024-01-01 00:51:00,56.15,0.364,142.1,0"
"2024-01-01 00:52:00,53.23,0.255,176.2,0"
"2024-01-01 00:53:00,66.12,0.259,177.7,0"
"2024-01-01 00:54:00,70.31,0.457,181.7,0"
"2024-01-01 00:55:00,69.31,0.488,130.8,0"
"2024-01-01 00:56:00,51.61,0.479,208.2,0"
"2024-01-01 00:57:00,56.91,0.511,147.9,0"
"2024-01-01 00:58:00,63.31,0.524,162.7,0"
"2024-01-01 00:59:00,69.76,0.187,150.1,0"
"2024-01-01 01:00:00,55.21,0.445,145.8,0"
"2024-01-01 01:01:00,58.14,0.347,158.4,0"
"2024-01-01 01:02:00,48.94,0.325,114.4,0"
"2024-01-01 01:03:00,48.04,0.456,90.9,0"
"2024-01-01 01:04:00,68.13,0.227,143.6,0"
"2024-01-01 01:05:00,73.56,0.225,123.6,0"
"2024-01-01 01:06:00,59.28,0.463,166.4,0"
"2024-01-01 01:07:00,70.04,0.449,163.0,0"
"2024-01-01 01:08:00,63.62,0.414,150.4,0"
"2024-01-01 01:09:00,53.55,0.312,194.4,0"
"2024-01-01 01:10:00,63.61,0.474,149.8,0"
"2024-01-01 01:11:00,75.38,0.468,106.3,0"
"2024-01-01 01:12:00,59.64,0.409,143.3,0"
"2024-01-01 01:13:00,75.65,0.282,185.1,0"
"2024-01-01 01:14:00,33.8,0.357,93.5,0"
"2024-01-01 01:15:00,68.22,0.484,147.2,0"
"2024-01-01 01:16:00,60.87,0.533,167.3,0"
"2024-01-01 01:17:00,57.01,0.367,229.6,1"
"2024-01-01 01:18:00,60.92,0.375,186.2,0"
"2024-01-01 01:19:00,40.12,0.384,154.0,0"
